title,company,location,link
㈜디케이티 생산관리/품질/사상팀 신입 및 경력사원 채용,(주)디케이티,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41224160
(주)오엠티 -  자동화 설비 CS / 조립 신입/경력 채용 - 정규직,(주)오엠티,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41425633
하반기 각 부문( 생산팀 ) 채용,(주)유원인더스트리,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41388035
[평택서탄/ 셔틀버스/식대지원] 국내 중견기업 사무보조,(주)메이크인,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41384513
"[(주)자비스] 설비 제작(조립, 셋업) 및 설비 생산 관리 채용",(주) 자비스,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41157735
[(주)자비스/코스닥] 동탄제조센터 생산팀 채용,(주) 자비스,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41446703
"자동차 1차사 영업본부 사원 모집(대졸초임 4,300만원)",㈜대승,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41303508
식품회사 생산직 사원모집,(주)푸드코리아,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41441344
생산직채용 (생산설비운전 / 생산관리),신원산업(주),경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41065390
영진철강(주) 생산팀 사원(팀원)/ 생산지원팀 생산관리직 모집,영진철강(주),충남,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41088948
경영지원부 인사파트 담당자 모집,(주)씨아이제이코리아,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41166223
경영지원부 홍보기획팀 담당자 모집,(주)씨아이제이코리아,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41106806
기구설계.전자 파트 담당자 모집,(주)씨아이제이코리아,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41292382
마케팅팀 경력사원(대리 / 과장급) 채용,주식회사 에이루트,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41361732
2021년 하반기 연구·실험·분석 신입 연구원 채용,제이씨앤엠(주),경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41421802
[정규직] 구매/자재관리 신입 및 경력사원 모집,티오에스(주),경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41451284
[쿠팡CFS]Fresh Operation Manager/Area Manager[신선물류센터 운영관리자],쿠팡풀필먼트서비스(유),경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41258674
[쿠팡CFS]물류센터 ICQA Manager(재고관리) 경력 모집,쿠팡풀필먼트서비스(유),경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41258650
